SMILES,Activity binary
C=CN1CCCCCC1=O,1
CCCCCCCCCCCCS(=O)(=O)OC,1
CCCCCCCCCCCCOC(=O)C=CC(=O)OCCCCCCCCCCCC,0
CC(C)(C)N(CC(=O)c1ccc(O)c(CO)c1)Cc1ccccc1,1
COC(=O)c1ccc(CBr)cc1,1
Cc1ccc(O)c(-n2nc3ccccc3n2)c1,1
CS(=O)(=O)c1ccc(F)c(C(=O)O)c1,0
CCCCCC1C(=O)CCC1CC(=O)OC,0
O=C(Oc1ccc([N+](=O)[O-])cc1)OC1COC2OCCC12,1
CC(=O)CCc1ccccc1,0
C=CCCCCCCCC(=O)OC,0
CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1,1
NC(=O)NC(=O)O,0
CCOC(=O)c1ccc(CBr)cc1,1
Cn1sccc1=O,1
Nc1ccc(NCCO)c([N+](=O)[O-])c1,1
c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,1
O=S(=O)(O)c1ccc(N=c2[nH]c(N3CCOCC3)nc(=Nc3ccc(C=Cc4ccc(N=c5nc(N6CCOCC6)[nH]c(=Nc6ccc(S(=O)(=O)O)cc6)[nH]5)cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)[nH]2)cc1,0
CCCCC(CC)COC(=O)CCC(=O)OCC(CC)CCCC,0
O=C(O)C(F)(F)F,0
Nc1ccc(N(CCO)CCO)cc1[N+](=O)[O-],1
CC(C)(N=NC(C)(C)C(=N)N)C(=N)N,0
CC(O)C#CC(C)O,1
CC(C)(C)c1ccc(OCC2CO2)cc1,1
C=CC(=O)OCCOC,1
c1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccccc5)cc4)nc(-c4ccc(-c5ccccc5)cc4)n3)cc2)cc1,0
O=C=Nc1cccc2c(N=C=O)cccc12,1
O=C(O)c1ccc(C(=O)O)o1,0
CC(=O)C1=C(C)C2CC3(C1)C(C)CCC3C2(C)C,1
CNC(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0
COC(=O)CCBr,0
CCC(=O)c1cccc(Cl)c1,0
CN1C2CCC1CC(OS(C)(=O)=O)C2,1
C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,0
CC(=O)OCCC1=CCC2CC1C2(C)C,1
OCC(CBr)(CBr)CBr,0
CCCCCCCCC=CCCCCCCCC(=O)OCCCCCCCCCC,0
CCCCCCCCC=CCCCCCCCCO,0
COCc1ccc(-c2ccc(COC)cc2)cc1,0
O=C(O)c1cccc(-c2cc(Cl)cc([N+](=O)[O-])c2O)c1,1
CCC(N)c1ccccc1,0
COc1cc(N=c2c(C#N)c[nH]c3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1
COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1,0
CCCCCCCCCCCCCCCCS(=O)(=O)OC,0
O=c1c2cc(Br)c3cccc4c(=O)c5cc(Br)c6cccc1c6c5-c2c34,0
COCCOCOCCOC,0
O=[N+]([O-])c1ccc(OCc2cccc(F)c2)c(Cl)c1,1
C=CC(=O)NCCC[N+](C)(C)C,0
CCC=CCC=CCC=CCCCCCCCC(=O)O,1
COC1=CC=C2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5,1
CC(C)(O)C(=O)c1ccc(Cc2ccc(C(=O)C(C)(C)O)cc2)cc1,0
